Palavra,Link,Instituicao
ACALMAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acalmar2Sm_Prog001.mp4,GoiásLibras · base nacional
ACAMPAMENTO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acampamentoSm_Prog001.mp4,GoiásLibras · base nacional
ACAMPAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acamparSm_Prog001.mp4,GoiásLibras · base nacional
ACANHADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acanhadoSm_Prog001.mp4,GoiásLibras · base nacional
ACARICIAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acariciarSm_Prog001.mp4,GoiásLibras · base nacional
ACASALAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acasalarSm_Prog001.mp4,GoiásLibras · base nacional
ACATAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acatarSm_Prog001.mp4,GoiásLibras · base nacional
ACAUTELAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acautelarSm_Prog001.mp4,GoiásLibras · base nacional
ACEITAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aceitarSm_Prog001.mp4,GoiásLibras · base nacional
ACELERAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acelerar1Sm_Prog001.mp4,GoiásLibras · base nacional
ACELERAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acelerar2Sm_Prog001.mp4,GoiásLibras · base nacional
ACENAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acenarSm_Prog001.mp4,GoiásLibras · base nacional
ACENDER FAROL,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acender3Sm_Prog001.mp4,GoiásLibras · base nacional
ACENDER ISQUEIRO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acender4Sm_Prog001.mp4,GoiásLibras · base nacional
ACENDER LUZ,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acender2Sm_Prog001.mp4,GoiásLibras · base nacional
ACENDER VELA,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acender1Sm_Prog001.mp4,GoiásLibras · base nacional
ACENTO1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acento1Sm_Prog001.mp4,GoiásLibras · base nacional
ACENTO2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acento2Sm_Prog001.mp4,GoiásLibras · base nacional
ACERCAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acercarSm_Prog001.mp4,GoiásLibras · base nacional
ACERTAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acertar1Sm_Prog001.mp4,GoiásLibras · base nacional
ACERTAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acertar2Sm_Prog001.mp4,GoiásLibras · base nacional
ACESO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acesoSm_Prog001.mp4,GoiásLibras · base nacional
ACESSO1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acesso1Sm_Prog001.mp4,GoiásLibras · base nacional
ACESSO2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acesso2Sm_Prog001.mp4,GoiásLibras · base nacional
ACHAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/achar1Sm_Prog001.mp4,GoiásLibras · base nacional
ACHAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/achar2Sm_Prog001.mp4,GoiásLibras · base nacional
ACIDENTE1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acidente1Sm_Prog001.mp4,GoiásLibras · base nacional
ACIDENTE2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acidente2Sm_Prog001.mp4,GoiásLibras · base nacional
ACIMA,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acimaSm_Prog001.mp4,GoiásLibras · base nacional
ACLIVE,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acliveSm_Prog001.mp4,GoiásLibras · base nacional
ACNE,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acneSm_Prog001.mp4,GoiásLibras · base nacional
ACOMODADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acomodadoSm_Prog001.mp4,GoiásLibras · base nacional
ACOMODAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acomodarSm_Prog001.mp4,GoiásLibras · base nacional
